card_id,date,price,scrap_date,source_id,dl_loaded_date
232411A,2023-04-12,27591,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
232411A,2023-04-13,25984,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
232411A,2023-04-19,25491,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
232411A,2023-04-20,25991,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
232411A,2023-04-28,24991,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
232411A,2023-04-30,27688,2023-05-04T08:36:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
ML2047,2023-04-26,31440,2023-05-04T08:23:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
ML2047,2023-05-03,29994,2023-05-04T08:23:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA274844,2022-11-29,33805,2023-05-04T08:34:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA274844,2022-12-17,32624,2023-05-04T08:34:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA274844,2023-05-03,29999,2023-05-04T08:34:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P9849A,2023-04-06,25977,2023-05-04T08:29:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P9849A,2023-04-07,26977,2023-05-04T08:29:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
GP408,2023-03-29,26766,2023-05-04T08:53:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
GP408,2023-04-15,23995,2023-05-04T08:53:56.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
132354,2023-04-19,19499,2023-05-04T08:13:26.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
132354,2023-04-20,18999,2023-05-04T08:13:26.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K70525A,2023-03-23,30500,2023-05-04T08:16:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K70525A,2023-04-07,29990,2023-05-04T08:16:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K70525A,2023-04-19,29490,2023-05-04T08:16:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K70525A,2023-04-28,28990,2023-05-04T08:16:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
T52630A,2023-04-09,29000,2023-05-04T08:35:44.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
T52630A,2023-04-26,28000,2023-05-04T08:35:44.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
M9518,2023-03-28,27995,2023-05-04T08:18:53.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
M9518,2023-04-19,27295,2023-05-04T08:18:53.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
M9518,2023-04-25,27095,2023-05-04T08:18:53.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
M9518,2023-04-30,26895,2023-05-04T08:18:53.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PH217324,2023-04-16,28595,2023-05-04T08:20:02.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PH217324,2023-05-02,27985,2023-05-04T08:20:02.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
A537,2023-02-22,23750,2023-05-04T08:36:30.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
A537,2023-03-04,23000,2023-05-04T08:36:30.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
A537,2023-04-21,22891,2023-05-04T08:36:30.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K386177,2023-04-12,29999,2023-05-04T08:30:55.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K386177,2023-04-17,29499,2023-05-04T08:30:55.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
D2373B,2022-12-31,28995,2023-05-04T08:19:32.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
D2373B,2023-03-01,27995,2023-05-04T08:19:32.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
D2373B,2023-04-28,26995,2023-05-04T08:19:32.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
B2204,2023-04-26,29995,2023-05-04T08:37:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
B2204,2023-04-28,28995,2023-05-04T08:37:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K44896A,2023-03-29,28721,2023-05-04T08:15:48.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K44896A,2023-03-30,28879,2023-05-04T08:15:48.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K44896A,2023-04-07,28989,2023-05-04T08:15:48.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K44896A,2023-04-15,28597,2023-05-04T08:15:48.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
