card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
WB5254L,Mitsubishi Eclipse Cross LE,2023,20000-29999,27496,"3400 Highway 61 White Bear Lake, MN 55110",N,N,N,JA4ATVAA4PZ002656,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",3294,mi.,suv,Four-wheel Drive,Alloy Silver Metallic,Yes,None reported,,No,"CARFAX One-Owner. Clean CARFAX.|Alloy Silver Metallic 2023 Mitsubishi Eclipse Cross LE 4WD|4 Speakers, Air Conditioning, Android Auto & Apple CarPlay, Automatic temperature control, Heated Front Bucket Seats, Power windows, Radio: AM/FM 8.0 Smartphone-Link Display Audio, Remote key|…|less entry, Wheels: 18 Black Painted Alloy.|Why do our guests love buying vehicles from White Bear Mitsubishi? It could be our numerous 5-star reviews on Google or our transparent, best price first pricing promise. Maybe it's the fact that most of our vehicles qualify for a seven-day return policy or 30 day exchange or that our salespeople are not paid on commission. Come see why people love buying cars at White Bear Mitsubishi!",2023-05-04T08:35:51.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
RC406030,Hyundai Sonata SEL,2023,20000-29999,28182,"3360 Highway 61 N Saint Paul, MN 55110",Y,N,Y,KMHL14JA8PA255472,8-Speed Automatic,Automatic,2.5L 4 Cylinder,2500.0,Gasoline,"",3610,mi.,sedan,Front-wheel Drive,Portofino Gray,Yes,None reported,,No,"ONE OWNER, CLEAN CARFAX, ANDROID AUTO AND/OR APPLE CARPLAY, POWER SEAT, BLUETOOTH, LANE KEEP ASSIST / LANE DEPARTURE, BLIND SPOT MONITOR / WARNING, BACKUP CAMERA, NAVIGATION, SUNROOF, CONVENIENCE PKG, Black w/Premium Cloth Seating Surfaces, Convenience Package, Option Group 02. Odometer is 589 miles|…|below market average! 27/37 City/Highway MPGPortofino Gray 2023 Hyundai Sonata SEL 4D Sedan FWD 8-Speed Automatic with SHIFTRONIC 2.5L I4Hyundai Certified Pre-Owned Details:  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Warranty Deductible: $50  173+ Point Inspection  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Roadside Assistance  Vehicle History  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service dateCOMPETITIVE PRICES: We price-check dozens of similar vehicles --- SAFETY: If it doesnt pass our safety inspection, we wont sell it to you. --- WARRANTY: 60-Day, 2,500-mile powertrain warranty & 30-Day, 1,000-mile vehicle bumper-to-bumper warranty -- EXCHANGE POLICY: 3-day, 300-mile exchange policy -- INSPECTION REPORT -- CARFAX REPORT -- 2 free OIL CHANGES -- 2 free TIRE ROTATIONS -- $200 LOYALTY BONUS -- $100 PDR CREDIT //Warranty excludes as-is vehicles. Limitations and exclusions apply. These benefits may be used only at participating Buerkle dealerships. See dealer to confirm eligibility for warranty and for full details.// THIS VEHICLE ALSO INCLUDES: 3-day, 300-mile exchange policy - Detailed inspection - CarFax(R) report - 2 FREE oil changes - 2 FREE tire rotations - $200 loyalty bonus - $100 PDR credit - Referral program // Benefits may be used only at participating Buerkle dealerships. See dealer to confirm for full details.//",2023-05-04T08:57:02.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
CTP0092,Hyundai Sonata SE,2023,20000-29999,25291,"1001 Coit Road Plano, TX 75075",Y,Y,N,KMHL24JA5PA259864,8-Speed Automatic with SHIFTRONIC,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",5167,mi.,sedan,Front-wheel Drive,Portofino Gray,No,None reported,,No,"CARFAX 1 OWNER, CLEAN CARFAX, KEYLESS ENTRY, LOCAL TRADE, APPLE CAR PLAY/ANDROID AUTO, REAR BACKUP CAMERA, NEW TEXAS STATE INSPECTION, FRESH DETAIL, RECENT OIL CHANGE, LANE KEEP ASSIST, FORWARD COLLISION ALERT, BLIND SPOT DETECTION, HYUNDAI FACTORY C|…|ERTIFIED AT NO ADDITIONAL CHARGE, Option Group 01. Certified. Hyundai Certified Pre-Owned Details:  173+ Point Inspection  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Warranty Deductible: $50  Vehicle History  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription If you don't know used cars, you should know your used car dealer. At Huffines we believe the vehicle buying process should be hassle free. We are willing to answer every question you might have during your search for the perfect vehicle. Conveniently located near Dallas, McKinney, and Lewisville. Huffines has been satisfying customers & forming lifetime friendships in the Greater Dallas area since 1924.",2023-05-04T08:30:25.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PA9628,Nissan Altima 2.5 SV,2023,20000-29999,28500,"1128 S Hopkins Ave Titusville, FL 32780",Y,Y,Y,1N4BL4DV1PN331279,Automatic CVT,CVT,2.5L I4 16V GDI DOHC,2500.0,Gasoline,"",2839,mi.,sedan,Front-wheel Drive,Scarlet Ember,Yes,None reported,,No,"2023 Nissan Altima 2.5 SV Scarlet Ember 2.5L 4-Cylinder DOHC 16V CVTFWD27/37 City/Highway MPG Nissan Certified Details:  Roadside Assistance  Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date  Warranty Deductible: $100  Transferable Warranty  V|…|ehicle History  Plus 1 Year Pre-Paid Maintenance Included.  167 Point Inspection Our Nissan, factory trained, Master technician perform a 167 point inspection and completed routine maintenance. Serving the central Florida area since 1971 and continuing a wonderful history with our new and long time customers, today. We are conveniently located in Titusville, FL just 35 minutes from Orlando Int'l airport, off I-95 exit 220. East 2.7M to US1, turn right on US1- to 1128 S Hopkins Ave Titusville, FL 32780.",2023-05-04T08:52:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
5002962,Nissan Rogue S,2023,20000-29999,27329,"3200 W Liberty Ave Pittsburgh, PA 15216",Y,Y,Y,5N1BT3AB4PC680300,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",3629,mi.,suv,All-wheel Drive,Black,Yes,None reported,,No,"Super Black 2023 Nissan Rogue S  NISSAN CERTIFIED / CPO WARRANTY ,  Service Records Available,  AWD / All Wheel Drive,  One Owner,  Clean Car - Fax,  APPLE CarPlay,  ANDROID Auto,  Bluetooth,  Hands Free,  Pushbutton - Keyless Start,  Rear Backup Camera,  Blind Spot Monitoring,  SERV|…|ICE WORK PERFORMED ,  Industry Leading 201 - Multi Point Inspection Process,  Fully Serviced - Professionally Detailed. Nissan Certified Details:  Vehicle History  167 Point Inspection  Roadside Assistance  Transferable Warranty  Plus 1 Year Pre-Paid Maintenance Included.  Warranty Deductible: $100  Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date Plus, with #1 Cochran's Market Based Pricing you can feel Confident that you are Receiving the Best Price and Value Available to You! #1 Cochran has been Providing the Tri-State Area with Excellent Sales and Service Experiences for 50 Years. STOP! Buy Today! Let YOUR #1 Cochran Experience Begin!",2023-05-04T08:18:05.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
CT23118B,Hyundai Elantra SEL,2023,20000-29999,22748,"601 E Bessemer Ave Greensboro, NC 27405",Y,Y,N,KMHLM4AG9PU504615,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",398,mi.,sedan,Front-wheel Drive,Metal,Yes,None reported,,Yes,"CLEAN CARFAX...NO ACCIDENTS, NC ONE OWNER, NAVIGATION, TRADED HERE FOR A NEW ONE, Air Conditioning, Alloy wheels, Apple CarPlay & Android Auto, Cargo Side Bins, Cloth Seat Trim, First Aid Kit, Front Bucket Seats, Option Group 01, Power steering, Power windows, Preferred Accessory Package, Radio:|…|AM/FM/HD/SiriusXM Display Audio, Remote keyless entry, Trunk/Cargo Hook. 30/40 City/Highway MPG Odometer is 5818 miles below market average! TO KEEP YOU SAFE, WE DELIVER! BUY ONLINE-TEXT-EMAIL-CHAT-PHONE AND WE WILL DELIVER YOUR NEXT VEHICLE TO YOUR DOOR! FROM OUR SALES FLOOR TO YOUR DOOR! IT'S THAT EASY! Our market based internet pricing provides value for our customers and eliminates the need for negotiating. Pre-owned internet pricing is achieved by polling over 70,000 pre-owned websites hourly. This ensures that every one of our customers receives real-time Value Pricing on every pre-owned vehicle we sell.",2023-05-04T08:20:14.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P2T56874,MINI SE Hardtop ICONIC,2023,20000-29999,27700,"8021 W 159th St Orland Park, IL 60477",N,N,N,WMW13DJ01P2T56874,1-Speed Automatic,Automatic,Electric,,Electric,"",2634,mi.,hatchback,Front-wheel Drive,Silver,Yes,None reported,,No,"ABS brakes, Active Cruise Control (DISC), Advanced Real-Time Traffic Information, Alarm System (DISC), Alloy wheels, Apple CarPlay Compatibility, Brake assist, Chesterfield Leather Upholstery, Comfort Access Keyless Entry, ConnectedDrive Services, Dynamic Digital Instrument Cluster, eDrive Services,|…|Electronic Stability Control, Front dual zone A/C, Heated door mirrors, Heated Front Seats, Heated front seats, Heated Steering Wheel, Iconic Trim (DISC), Illuminated entry, Low tire pressure warning, Media Display, MINI Assist eCall, MINI Connected, MINI Connected XL, MINI Electric Interior Surface, MINI Head-Up Display, MINI Navigation, MINI TeleServices, Nappa Leather Steering Wheel, Navigation system: Connected Navigation, Panoramic Moonroof, Parking Assistant, Piano Black Exterior Trim, Power moonroof, Rear-View Camera, Remote keyless entry, Remote Services, Roof in Body Color, Standard Headliner, Storage Package, Touchscreen Navigation Plus (DISC), Traction control, Wheels: 17 x 7 Black Tentacle Spoke, Wireless Charging. Priced below KBB Fair Purchase Price! Clean CARFAX. CARFAX One-Owner. Odometer is 562 miles below market average! 119/100 City/Highway MPG 2023 MINI Cooper Iconic International Autos is a name you can trust! We are committed to ensure you are fully satisfied with your purchase. Please call us or visit us today!",2023-05-04T08:25:18.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
S230460A,Subaru Crosstrek Premium,2023,20000-29999,27499,"1200 Ridge Pike Conshohocken, PA 19428",Y,Y,N,JF2GTACC1PG309917,6-Speed Manual,Manual,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",1614,mi.,suv,All-wheel Drive,Crystal Black Silica,Yes,None reported,Yes,Yes,"PRICED BELOW MARKET! THIS CROSSTREK WILL SELL FAST! -LOW MILES!- -BACKUP CAMERA, HEATED FRONT SEATS, BLUETOOTH, SATELLITE RADIO, AND ALL WHEEL DRIVE- -CARFAX ONE OWNER- This Crosstrek looks great with a clean Black W/Orange Stitching interior and Crystal Black Pearl exterior! Please call to confirm|…|that this Crosstrek is still available! Call us today to schedule a hassle-free test drive! We are located at: 860 Baltimore Pike, Springfield, PA 19064. THIS VEHICLE IS PROUDLY OFFERED AT OUR SPRINGFIELD LOCATION!!!CALL 484-479-2410 FOR DETAIL'S...",2023-05-04T08:52:39.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
UB7868P,Nissan Rogue S,2023,20000-29999,28995,"1521 Sunrise Highway Bayshore, NY 11706",N,N,N,5N1BT3AB6PC764313,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",2617,mi.,suv,All-wheel Drive,Black,Yes,None reported,,Yes,"Only 2,553 Miles! Scores 35 Highway MPG and 28 City MPG! This Nissan Rogue delivers a Intercooled Turbo Regular Unleaded I-3 1.5 L/91 engine powering this Variable transmission. SUPER BLACK, CHARCOAL, CLOTH SEAT TRIM, [L92] FLOOR MATS W/1-PIECE CARGO AREA PROTECTOR -inc: seatback protector, First Ai|…|d Kit. This Nissan Rogue Features the Following Options [B92] BLACK SPLASH GUARDS (SET OF 4), Wheels: 17 Aluminum Alloy, Wheels w/Gray Accents, Urethane Gear Shifter Material, Trip Computer, Transmission: Xtronic CVT Automatic -inc: manual mode, Transmission w/Driver Selectable Mode, Tires: 235/65R17 All Season, Tire Specific Low Tire Pressure Warning, Tailgate/Rear Door Lock Included w/Power Door Locks. Visit Us Today Test drive this must-see, must-drive, must-own beauty today at Nissan of Bay Shore, 1521 Sunrise Hwy, Bay Shore, NY 11706.",2023-05-04T08:52:43.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3Q606A,Hyundai Elantra SE,2023,20000-29999,22277,"2363 Aurora Ave Naperville, IL 60540",N,N,N,KMHLL4AG1PU437995,Automatic,Automatic,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",4101,mi.,sedan,Front-wheel Drive,Electric Shadow,Yes,None reported,Yes,Yes,"Electric Shadow exterior and Black interior. Extra Clean, LOW MILES - 4,101! REDUCED FROM $23,000!, FUEL EFFICIENT 42 MPG Hwy/33 MPG City! Apple CarPlay, Bluetooth, iPod/MP3 Input, Alloy Wheels, CARPETED FLOOR MATS, Back-Up Camera ======KEY FEATURES INCLUDE: Back-Up Camera, iPod/MP3 Input, Bluetooth|…|, Aluminum Wheels, Apple CarPlay Hyundai SE with Electric Shadow exterior and Black interior features a 4 Cylinder Engine with 147 HP at 6200 RPM. ======OPTION PACKAGES: CARPETED FLOOR MATS. ======A GREAT TIME TO BUY: Reduced from $23,000. AutoCheck One Owner Horsepower calculations based on trim engine configuration. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase.",2023-05-04T08:36:46.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
