card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
1L1314,Kia Forte LXS,2023,20000-29999,28995,"22020 Recreation Rd Carson, CA 90745",Y,Y,Y,3KPF24AD4PE539073,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",5703,mi.,sedan,Front-wheel Drive,Snow White Pearl,Yes,None reported,,No,"Only 5,701 Miles! Boasts 39 Highway MPG and 28 City MPG! Dealer Certified Pre-Owned. This Kia Forte delivers a Regular Unleaded I-4 2.0 L/122 engine powering this Variable transmission. SNOW WHITE PEARL, BLACK, CLOTH SEAT TRIM, Window Grid Antenna.Kia of CarsonKia of Carson is one of the largest K|…|ia Dealership in the US. We typically have access to over 1,500 new Kias on the ground. We are sure to have the right car and the right deal for you. Our team's main focus is your satisfaction. This Kia Forte Features the Following Options Wheels: 16 Alloy, Variable Intermittent Wipers, Urethane Gear Shifter Material, Trunk Rear Cargo Access, Trip Computer, Transmission: Intelligent Variable -inc: Sportmatic and drive mode select w/visual display (normal, sport, comfort), Torsion Beam Rear Suspension w/Coil Springs, Tires: 205/55R16 All-Season, Tire mobility kit, Strut Front Suspension w/Coil Springs. Stop By Today Stop by Trophy of Carson LLC dba Kia of Carson located at 22020 Recreation Rd, Carson, CA 90745 for a quick visit and a great vehicle!",2023-05-04T08:44:33.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
1L1308,Kia Forte LXS,2023,20000-29999,28995,"22020 Recreation Rd Carson, CA 90745",Y,Y,Y,3KPF24AD1PE524269,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",5379,mi.,sedan,Front-wheel Drive,Snow White Pearl,Yes,None reported,,No,"Only 5,371 Miles! Boasts 39 Highway MPG and 28 City MPG! Dealer Certified Pre-Owned. This Kia Forte delivers a Regular Unleaded I-4 2.0 L/122 engine powering this Variable transmission. SNOW WHITE PEARL, BLACK, CLOTH SEAT TRIM, Window Grid Antenna.Kia of CarsonKia of Carson is one of the largest K|…|ia Dealership in the US. We typically have access to over 1,500 new Kias on the ground. We are sure to have the right car and the right deal for you. Our team's main focus is your satisfaction. This Kia Forte Features the Following Options Wheels: 16 Alloy, Variable Intermittent Wipers, Urethane Gear Shifter Material, Trunk Rear Cargo Access, Trip Computer, Transmission: Intelligent Variable -inc: Sportmatic and drive mode select w/visual display (normal, sport, comfort), Torsion Beam Rear Suspension w/Coil Springs, Tires: 205/55R16 All-Season, Tire mobility kit, Strut Front Suspension w/Coil Springs. Visit Us Today Come in for a quick visit at Trophy of Carson LLC dba Kia of Carson, 22020 Recreation Rd, Carson, CA 90745 to claim your Kia Forte!",2023-05-04T08:50:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
E1388,Hyundai Kona SEL,2023,20000-29999,26999,"4400 East Division Street Evansville, IN 47715",Y,Y,N,KM8K6CAB8PU983629,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",3271,mi.,suv,All-wheel Drive,Lunar White,No,None reported,,No,"Equipment: You'll never again be lost in a crowded city or a country region with the navigation system on it. with XM/Sirus Satellite Radio you are no longer restricted by poor quality local radio stations while driving this Hyundai Kona. Anywhere on the planet, you will have hundreds of digital sta|…|tions to choose from. See what's behind you with the back up camera on the Hyundai Kona. Bluetooth technology is built into this vehicle, keeping your hands on the steering wheel and your focus on the road. This vehicle has satellite radio capabilities. This small suv embodies class and sophistication with its refined white exterior. Maintaining a stable interior temperature in this vehicle is easy with the climate control system. When you encounter slick or muddy roads, you can engage the four wheel drive on this vehicle and drive with confidence. This Hyundai Kona has a L4, 2.0L high output engine. Packages: Convenience Package. Option Group 01. Cargo Package. Carpeted Floor Mats. Cargo Tray. Wheel Locks. Cargo Net. First Aid Kit. Equipment listed is based on original vehicle build. Please confirm the accuracy of the included equipment by calling the dealer prior to purchase.",2023-05-04T08:45:38.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
R674495,Nissan Rogue S,2023,20000-29999,28995,"10401 Madison Kansas City, MO 64114",Y,Y,Y,5N1BT3AB4PC674495,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",3662,mi.,suv,All-wheel Drive,Scarlet Ember,Yes,None reported,,No,"Clean CARFAX. Certified. Scarlet Ember Tintcoat 2023 Nissan Rogue S STATELINE AdvantEDGE INCLUDED AT NO CHARGE, MINIMUM 3 MONTHS OR 3K MILES POWERTRAIN COVERAGE, COMPLIMENTARY 6 MONTH TIRE & WHEEL COVERAGE, 6 MONTHS DENT & DING COVERAGE, 1 YEAR THEFT PROTECTION (UP TO $2500 CASH BENEFIT), 6 MONTHS K|…|EY REPLACEMENT COVERAGE, 1 YEAR PAINT PROTECTION, 6 MONTHS WINDSHIELD REPAIR COVERAGE, Bluetooth, Special Financing, Backup Camera, iPod interface, Clean Carfax, CARFAX 1-Owner, 4X4 / 4WD / 4 WHEEL DRIVE, APPLE CAR PLAY, ANDROID AUTO. Recent Arrival! Odometer is 1010 miles below market average! Nissan Combined Details:  Roadside Assistance  Warranty Deductible: $100  Transferable Warranty  167 Point Inspection (for Nissan Certified program), 84 Point Inspection (for Certified Select program)  Limited Warranty: 6 Month/6,000 Mile (whichever comes first) from original in-service date (for Certified Select program), 84 Month/100,000 Mile (whichever comes first) from original in-service date (for Nissan Certified program)  Vehicle History  Plus 1 Year Pre-Paid Maintenance Included. (for Nissan Certified program), Plus 1 Complimentary Service Visit Included. (for Certified Select program) Locally owned and operated, State Line Nissan focuses on providing you not only the best car-buying experience, but also the best ownership experience. We offer 24 hour test drives. Top-ranked Nissan Sales and Service for more than a decade as well as being at the top of the class for customer satisfaction in both sales and service. Please see dealer for details. Pricing plus administrative fee of $499. Pricing subject to change without notice. Dealer not responsible for errors in vehicle photos, pricing, or vehicle details. Always see your dealer regarding this specific vehicle.",2023-05-04T08:53:10.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
NP685446,Nissan Rogue SV,2023,20000-29999,28914,"1500 Center Point Pkwy Birmingham, AL 35215",Y,Y,N,5N1BT3BA5PC685446,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",5111,mi.,suv,Front-wheel Drive,Gun Metallic,Yes,None reported,,No,"CARFAX One-Owner. Clean CARFAX. Come on down to Serra Nissan/VW to see this 2023 Rogue in Gun Metallic. 30/37 City/Highway MPG Priced below KBB Fair Purchase Price! Experience the Serra Promise - it's our promise to you; our valued customer. It's peace of mind that at any of our dealerships, you wil|…|l find exactly what you need, from friends and neighbors you can trust for the road ahead!",2023-05-04T08:17:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PC679142R,Nissan Rogue SV,2023,20000-29999,29277,"29788 Frederick Blvd Daphne, AL 36526",Y,Y,N,5N1BT3BAXPC679142,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",3045,mi.,suv,Front-wheel Drive,Black,No,None reported,,No,"Thank you for your interest in one of Matt Bowers Nissan Eastern Shore's online offerings. Please continue for more information regarding this 2023 Nissan Rogue SV with 3,043mi. Do so much more with one vehicle. This Nissan Rogue gives you everything you need an automobile to be. The 2023 Nissan off|…|ers compelling fuel-efficiency along with great value. You will no longer feel the need to repeatedly fill up this Nissan Rogue SV's gas tank, in part because of it's superb EPA rating. The Nissan Rogue SV will provide you with everything you have always wanted in a car -- Quality, Reliability, and Character. Just what you've been looking for. With quality in mind, this vehicle is the perfect addition to take home.",2023-05-04T08:23:02.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
N766173A,Volkswagen Jetta 1.5T S,2023,20000-29999,24800,"2029 Ireland Grove Rd Bloomington, IL 61704",Y,Y,N,3VW5M7BU4PM011249,8-Speed Automatic,Automatic,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",999,mi.,sedan,Front-wheel Drive,Platinum Gray Metallic,Yes,None reported,,Yes,"CARFAX One-Owner. Clean CARFAX. ONE OWNER, CLEAN CARFAX/NO ACCIDENTS, SERVICE RECORDS AVAILABLE, BLUETOOTH/HANDS FREE CELL PHONE, DEALER SERVICED, REAR BACKUP CAMERA, 4 Speakers, 4-Wheel Disc Brakes, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Brake assist, Cloth Seat Trim, Driver door|…|bin, Dual front impact airbags, Dual front side impact airbags, Exterior Parking Camera Rear, Front anti-roll bar, Front Center Armrest, Front wheel independent suspension, Fully automatic headlights, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Radio: MIB3 Composition Color w/6.5 Touchscreen, Rear anti-roll bar, Rear reading lights, Rear window defroster, Remote keyless entry, Speed control, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Variably intermittent wipers. 2023 Volkswagen Jetta 1.5T S 1.5L I-4 DI DOHC Turbocharged Silver FWD 8-Speed Automatic with Tiptronic Odometer is 3335 miles below market average! 31/41 City/Highway MPG",2023-05-04T08:21:09.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
T024011A,Subaru Crosstrek Premium,2023,20000-29999,29596,"1101 Business Center Way Edgewood, MD 21040",Y,Y,N,JF2GTAEC0P8276397,Automatic CVT,CVT,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",1398,mi.,suv,All-wheel Drive,Crystal White Pearl,Yes,None reported,,Yes,"White 2023 Subaru Crosstrek Premium AWD Free Car Washes for Life!. Don't hesitate to call and ask for our Sales Professionals here at our Ourisman Pre Owned Superstore. We can be reached at 410-679-1500. We look forward to welcoming you to our family! Ask about our Ourisman Promise! . Used & Certifi|…|ed Vehicle Prices excludes excise tax, tags and a dealer processing fee of $500 (Not required by Law).",2023-05-04T08:50:40.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
NEBC0853,Nissan Altima 2.5 SV,2023,20000-29999,25990,"3423 Darrow Rd Stow, OH 44224",Y,N,N,1N4BL4DV2PN309226,Automatic CVT,CVT,2.5L I4 16V GDI DOHC,2500.0,Gasoline,"",11062,mi.,sedan,Front-wheel Drive,Brilliant Silver Metallic,Yes,None reported,,Yes,"SUNROOF / MOONROOF, BLUETOOTH, REAR BACKUP CAMERA, CRUISE CONTROL, ALLOY WHEELS, ONE OWNER, ACCIDENT FREE CARFAX REPORT, Active Ride Control (ARC), Body-Colored Outside Mirrors, Electronic Parking Brake w/Auto-Hold, Exhaust Finishers, Heated Front Seats, Intelligent Cruise Control w/Full Spd Range &|…|Hold, Intelligent Lane Intervention (I-LI), Intelligent Trace Control (I-TC), Leather Shift Knob, Leather Steering Wheel, NissanConnect, Premium Interior Finishers, ProPILOT Assist, Single Panel Moonroof, Steering Assist, SV Premium Package, Traffic Sign Recognition. Why buy from Ron Marhofer Chevrolet? We offer 7 day/400 mile return policy on our pre-owned vehicles. Additionally, we offer free home delivery up to 150 miles from the dealership. Shop online, over the phone, or at the dealership...your choice! Please see our website at ronmarhoferchevy.com for details. Ron Marhofer Chevrolet has a large selection of pre-owned cars, trucks and SUVs. Each vehicle is thoroughly inspected and marked with our best, no hassle price up front. 2023 Nissan Altima 2.5 SV 2.5L 4-Cylinder DOHC 16V CARFAX One-Owner. 27/39 City/Highway MPG",2023-05-04T08:33:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
464171,Hyundai Sonata SEL,2023,20000-29999,28995,"1300 E College St Lake Charles, LA 70605",N,N,N,KMHL64JA4PA294271,8-Speed Automatic with SHIFTRONIC,Automatic,2.5L I4,2500.0,Gasoline,"",1980,mi.,sedan,Front-wheel Drive,Hampton Gray,Yes,None reported,,Yes,"CARFAX One-Owner. Clean CARFAX. Black Cloth, 4-Wheel Disc Brakes, ABS brakes, Air Conditioning, Alloy wheels, Apple CarPlay & Android Auto, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Cargo Tray, Delay-off headlights, Dual front impact airbags, Dual f|…|ront side impact airbags, Electronic Stability Control, Emergency communication system: Blue Link Connected Car Service (3-year complimentary subscription), Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Fully automatic headlights, Heated door mirrors, Heated front seats, Knee airbag, Low tire pressure warning, Navigation System, Occupant sensing airbag, Option Group 01, Overhead airbag, Panic alarm, Passenger door bin, Power driver seat, Power steering, Power windows, Rear window defroster, Remote keyless entry, Security system, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Traction control, Trunk Cargo Net, Variably intermittent wipers. Certified. Hampton Gray 2023 Hyundai Sonata SEL FWD 8-Speed Automatic with SHIFTRONIC 2.5L I4 Odometer is 1972 miles below market average! 27/37 City/Highway MPG Hyundai Certified Pre-Owned Details:  173+ Point Inspection  Vehicle History  Roadside Assistance  Warranty Deductible: $50  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription",2023-05-04T08:14:23.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
