card_id,vehicle,year,price_range,price_usd,price_history,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
PU046493T,Hyundai Elantra HEV Limited,2023,20000-29999,28500,"","13660 IH-10 West San Antonio, TX 78230",Y,Y,N,KMHLN4AJ8PU046493,Automatic,Automatic,1.6L I4 16V GDI DOHC Hybrid,1600.0,Hybrid,"",7323,mi.,sedan,Front-wheel Drive,Phantom Black,Yes,None reported,,Yes,"Clean CARFAX. CARFAX One-Owner. Phantom Black 2023 Hyundai Elantra Hybrid Limited FWD 6-Speed Dual Clutch I4 Elantra Hybrid Limited, 4D Sedan, I4, 6-Speed Dual Clutch, FWD, Phantom Black, Black Leather, AppLink/Apple CarPlay and Android Auto, Brake assist, Cargo Side Bins, Electronic Stability Contr|…|ol, Exterior Parking Camera Rear, First Aid Kit, Navigation System, Option Group 01, Power moonroof, Preferred Accessory Package, Trunk/Cargo Hook.49/52 City/Highway MPG",2023-05-01T08:02:45.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P66038,Kia Sportage LX,2023,20000-29999,26998,"4/06/23: $27,598 | 4/29/23: $26,998","10477 Central Ave. Montclair, CA 91763",N,N,N,KNDPU3AFXP7035945,Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",25261,mi.,suv,Front-wheel Drive,Snow White Pearl,Yes,None reported,,No,"Back-up Camera  Rear Parking Aid  Bluetooth Connection  Brake Assist  Aluminum WheelsDiscover the 2023 Kia Sportage LX with 25,261 miles and an array of features including a back-up camera, rear parking aid, Bluetooth connection, brake assist and aluminum wheels - all at an unbeatable value! S|…|TG Auto Group makes it easy to finance and takes the stress out of car buying. Stop by to experience the best car buying experience around.CALL TODAY! VISIT ANY OF OUR 4 LOCATIONS NEAR YOU! MONTCLAIR - GARDEN GROVE - BELLFLOWER. WON'T LAST! ATTENTION TO ALL BUYERS..... ALL PRICES ARE FINAL PLUS ANY AFTERMARKET WHEELS, LIFT KITS, LOWERING KITS, TINT, ACCESSORIES, PRE-INSTALLED THEFT DETERRENT DEVICES, 3M DOOR GUARD, DOC PREP FEES, SMOG FEE, SALES TAX, DMV LICENSE FEES, REGISTRATION FEES, SMOG CERTIFICATE FEE...CALL DEALER FOR MORE INFORMATION AND DETAILS. ANY AND ALL FACTORY INSTALLED FEATURES AND OPTIONS DESCRIBED MAY OR MAY NOT BE AVAILABLE OR PRESENT, PLEASE VERIFY WITH DEALER. LISTED EQUIPMENT VALUES BASED ON ORIGINAL MSRP. THANK YOU!!! (Upon notice of a mistake regarding any information contained herein, STG AUTO GROUP rescinds such offer any acceptance of an offer with a mistake.)",2023-05-01T08:03:31.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
33342,Hyundai Elantra HEV Limited,2023,20000-29999,27994,"","1001 Clairton Blvd Pleasant Hills, PA 15236",N,N,N,KMHLN4AJ2PU038700,6-Speed DCT Automatic,DCT,1.6L I4 16V GDI DOHC Hybrid,1600.0,Hybrid,"",8896,mi.,sedan,Front-wheel Drive,Ceramic White,Yes,None reported,Yes,Yes,"CARFAX One-Owner. 2023 Hyundai Certified. FWD Elantra Hybrid Limited Ceramic White 6-Speed Dual Clutch  COMES WITH OPTIONS LIKE Cargo Package (Cargo Block, Cargo Net, and Reversible Cargo Tray), Option Group 01, 17 x 7.0J Alloy Wheels, 4-Wheel Disc Brakes, 8 Speakers, ABS brakes, Air Conditioning|…|, Alloy wheels, AM/FM radio: SiriusXM, AppLink/Apple CarPlay and Android Auto, Auto High-beam Headlights, Auto-dimming Rear-View mirror, Automatic temperature control, Brake assist, Bumpers: body-color, Carpeted Floor Mats, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: Blue Link Connected Car Service (3-year complimentary subscription), Exterior Parking Camera Rear, First Aid Kit, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Front wheel independent suspension, Fully automatic headlights, Heated & Ventilated Front Bucket Seats, Heated door mirrors, Heated front seats, Illuminated entry, Leather Seat Trim, Leather Shift Knob, Low tire pressure warning, Memory seat, Navigation System, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power moonroof, Power steering, Power windows, Radio: AM/FM/HD/SiriusXM Display Audio, Rear seat center armrest, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, and Ventilated front seats. Hyundai Certified Pre-Owned Details:  Roadside Assistance  Warranty Deductible: $50  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from o",2023-05-01T08:01:55.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
TR7425A,Chevrolet Trailblazer LT,2023,20000-29999,28976,"","90 Scott Rd Waterbury, CT 06705",Y,Y,N,KL79MRSL4PB029083,9-Speed Automatic,Automatic,1.3L I3 12V GDI DOHC Turbo,1300.0,Gasoline,"",7170,mi.,suv,All-wheel Drive,Mosaic Black Metallic,Yes,None reported,,Yes,"Mosaic Black Metallic 2023 Chevrolet TrailBlazer LT AWD 9-Speed Automatic 1.3L Ecotec Turbo DOHC SIDI w/VVT HEATED SEATS, ALL WHEEL DRIVE, CLEAN VEHICLE HISTORY REPORT.....NO ACCIDENTS!, 1 OWNER. Price includes $1000 down payment assistance. See dealer for details. 26/30 City/Highway MPG STOP BY FOR|…|A HASSLE FREE TEST DRIVE TODAY!",2023-05-01T08:04:26.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
C71671S,Hyundai Elantra SEL,2023,20000-29999,23999,"4/18/23: $24,799 | 4/27/23: $23,999","11344 Hickman Rd Clive, IA 50325",N,Y,N,KMHLS4AG1PU432539,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",3899,mi.,sedan,Front-wheel Drive,Intense Blue,Yes,None reported,Yes,No,"Certified. Clean CARFAX. Intense Blue 2023 Hyundai Elantra SEL W/CONVENIENCE PACKAGE IVT FWD I4Hyundai Certified Pre-Owned Details:  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000 Mi|…|le (whichever comes first) from original in-service date  Vehicle History  173+ Point Inspection  Warranty Deductible: $50  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscriptionUp to a 10YR/100,000 POWERTRAIN warranty, Clean Carfax, CARFAX ONE OWNER, 2nd Row USB Charge Port, Convenience Package, Electronic Parking Brake, Forward Collision Avoidance Assist, Full 10.25 LCD TFT Cluster, Heated Outside Mirrors, Heated seats, Leather-Wrapped Steering Wheel, LED Interior Lights, Option Group 02, Radio: AM/FM/HD/SiriusXM Audio System, Smart Cruise Control w/Stop & Go, Wheels: 17 x 7.0J Machine Finish Alloy, Wireless Charging Pad. 4D Sedan Stew Hansen Hyundai we strive to sell quality Preowned vehicles with upfront pricing.We are here for all of your needs and will go the extra mile to earn your business. We Hear You!! CALL NOW 515-253-3000 TO FIND OUT AVAILABILITY!!!2023 Hyundai Elantra SEL W/CONVENIENCE PACKAGE Sales Tax, Title, License Fee, Registration Fee, Dealer Documentary Fee, Finance Charges, Emission Testing Fee's and Compliance Fees are additional to the advertisted price. OEMC",2023-05-01T08:06:23.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P66037,Kia Sportage LX,2023,20000-29999,26998,"4/06/23: $27,798 | 4/28/23: $27,677 | 4/29/23: $26,998","10477 Central Ave. Montclair, CA 91763",N,N,N,KNDPU3AF5P7035884,Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",19775,mi.,suv,Front-wheel Drive,Fusion Orange,Yes,None reported,,No,"Back-up Camera  Rear Parking Aid  Bluetooth Connection  Brake Assist  Aluminum WheelsDrive the newest 2023 Kia Sportage LX with 19,775 miles and enjoy the fantastic features like a back-up camera, rear parking aid, Bluetooth connection, brake assist, and aluminum wheels. Financing is a breeze|…|with STG Auto Group, so don't hesitate and make this great car yours today!CALL TODAY! VISIT ANY OF OUR 4 LOCATIONS NEAR YOU! MONTCLAIR - GARDEN GROVE - BELLFLOWER. WON'T LAST! ATTENTION TO ALL BUYERS..... ALL PRICES ARE FINAL PLUS ANY AFTERMARKET WHEELS, LIFT KITS, LOWERING KITS, TINT, ACCESSORIES, PRE-INSTALLED THEFT DETERRENT DEVICES, 3M DOOR GUARD, DOC PREP FEES, SMOG FEE, SALES TAX, DMV LICENSE FEES, REGISTRATION FEES, SMOG CERTIFICATE FEE...CALL DEALER FOR MORE INFORMATION AND DETAILS. ANY AND ALL FACTORY INSTALLED FEATURES AND OPTIONS DESCRIBED MAY OR MAY NOT BE AVAILABLE OR PRESENT, PLEASE VERIFY WITH DEALER. LISTED EQUIPMENT VALUES BASED ON ORIGINAL MSRP. THANK YOU!!! (Upon notice of a mistake regarding any information contained herein, STG AUTO GROUP rescinds such offer any acceptance of an offer with a mistake.)",2023-05-01T08:04:39.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
20388A,Mitsubishi Mirage ES,2023,10000-19999,17800,"","1355 W Dickman Rd Battle Creek, MI 49037",N,N,N,ML32AUHJ4PH000379,Automatic CVT,CVT,1.2L I3 12V MPFI DOHC,1200.0,Gasoline,"",1150,mi.,hatchback,Front-wheel Drive,Mercury Gray Metallic,Yes,None reported,,Yes,"ONE OWNER LOCAL TRADE, REMAINING FULL FACTORY WARRANTY, BLUETOOTH, BACK-UP CAMERA, Android Auto & Apple CarPlay, Automatic temperature control, Radio: 7.0 Smartphone-Link Display Audio (SDA), Remote keyless entry, Steering wheel mounted audio controls. Sunshine Toyota proudly serving communities for|…|over 37 years of Battle Creek, Kalamazoo, Portage, Lansing, Grand Rapids, Coldwater, Bronson, Three Rivers, Paw Paw, Oshtemo, Plainwell, Otsego, Richland, Hastings, Delton, Charlotte, Eaton Rapids, Jackson, Parma, Galesburg, Augusta, Climax, Vicksburg, Schoolcraft, Comstock, Parchment, Dowling, Marshall, Gull Lake, East Leroy, Athens, Ceresco, Union City, Albion, Burr Oak, and Homer. Visit http://www.sunshinetoyota.com to view all inventory and see why Customers have voted Sunshine Toyota as a Preferred Dealership to do business with.",2023-05-01T08:00:34.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
PA248718,Hyundai Sonata SE,2023,20000-29999,23500,"3/14/23: $24,500 | 3/28/23: $24,000 | 4/10/23: $23,500","3170 New Jersey 10 Denville, NJ 07834",Y,Y,N,KMHL24JA5PA248718,8-Speed Automatic with SHIFTRONIC,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",9320,mi.,sedan,Front-wheel Drive,White,No,None reported,,No,"Clean CARFAX. Certified. Hyundai Details:  Warranty Deductible: $50  Roadside Assistance  173+ Point Inspection  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Vehicle History  Limited Warranty: 60 Month/60,000 Mile (whichever comes f|…|irst) from original in-service date  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription Black Cloth. 28/38 City/Highway MPG FWD 2.5L I4 Serenity White 2023 Hyundai Sonata SE 8-Speed Automatic with SHIFTRONIC",2023-05-01T08:05:02.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
U211259,Hyundai Venue SEL,2023,20000-29999,21999,"2/25/23: $23,994 | 4/05/23: $21,999","439 Mantua Pike Woodbury, NJ 08096",N,N,N,KMHRC8A33PU211259,IVT,IVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",2620,mi.,suv,Front-wheel Drive,Black Noir Pearl,Yes,None reported,,Yes,"\"Price includes all costs to be paid by the consumer, except for licensing costs, registration fees, taxes, document fees, and courier fees.\". FOR THIS AND OTHER INTERNET SPECIALS, CALL RYAN SAUERS AT a href=\"tel:888-852-7367\"888-852-7367/a. PRINT THIS AD AND BRING INTO RYAN FOR AN ADDITIONAL $200 DISCOUNT",2023-05-01T08:02:31.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
Z623229A,Subaru Crosstrek Limited,2023,20000-29999,29690,"12/14/22: $34,990 | 12/21/22: $33,690 | 12/28/22: $32,990 | 12/30/22: $32,690 | 1/03/23: $31,990 | 1/09/23: $32,490 | 1/11/23: $31,990 | 1/13/23: $32,490 | 1/18/23: $32,990 | 1/20/23: $32,490 | 1/25/23: $31,990 | 1/30/23: $31,690 | 2/03/23: $31,990 | 2/08/23: $31,490 | 2/13/23: $30,990 | 2/16/23: $30,690 | 2/20/23: $29,990 | 2/24/23: $29,690 | 2/28/23: $29,990 | 3/04/23: $29,690 | 3/11/23: $29,990 | 3/14/23: $30,490 | 3/17/23: $30,990 | 3/22/23: $31,490 | 3/24/23: $30,990 | 3/27/23: $31,490 | 3/30/23: $30,990 | 3/31/23: $31,490 | 4/04/23: $30,990 | 4/06/23: $30,490 | 4/10/23: $29,990 | 4/12/23: $29,690 | 4/17/23: $30,990 | 4/22/23: $30,490 | 4/25/23: $29,990 | 4/28/23: $29,690","11701 SW 152nd Street Miami, FL 33177",N,N,N,JF2GTHNC9PH222573,Automatic CVT,CVT,2.5L H4 16V GDI DOHC,2500.0,Gasoline,"",2189,mi.,suv,All-wheel Drive,Pure Red,Yes,None reported,Yes,Yes,"CARFAX One-Owner. Clean CARFAX. Red 2023 Subaru Crosstrek Limited AWD Lineartronic CVT 2.5L 4-Cylinder DOHC 16V 2023 Subaru Crosstrek Limited in Red vehicle highlights include, 2023 Subaru Crosstrek in Red vehicle highlights include, CLEAN CARFAX, ONE OWNER, LEATHER, NAVIGATION / NAVI|…|/ GPS, KEYLESS ENTRY, REARVIEW CAMERA, SATALITTE RADIO, NON-SMOKER, POWER SEATS, HEATED SEATS, ALLOY WHEELS, REAR A/C,  BLUE TOOTH. Odometer is 3309 miles below market average! 27/34 City/Highway MPG Please contact our pre-owned Internet Sales Manager, for more information on this vehicle.",2023-05-01T08:05:26.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
