card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
TN53616,Nissan Leaf SV PLUS,2023,20000-29999,28999,"1220 Versailles Rd Frankfort, KY 40601",N,N,N,1N4CZ1CV9PC553616,Automatic,Automatic,Electric,,Electric,"",5041,mi.,hatchback,Front-wheel Drive,White / Black,No,None reported,,Yes,"Super Black/Pearl White 2023 Nissan Leaf SV Plus 4D Hatchback FWD Electric ZEV 214hp Single Speed Reducer LOCAL TRADE IN, PURCHASED LOCALLY WHEN IT WAS BRAND NEW, NAVIGATION, APPLE CARPLAY/ANDROID AUTOPLAY, BLUETOOTH, HEATED FRONT SEATS, PREVIOUS OWNERS INFO IS AVAILBLE TO DISCUSS ITS H|…|ISTORY, REMAINDER OF FACTORY WARRANTY STILL APPLIES, Navigation system: NissanConnect EV w/Navigation & Services, NissanConnect Services Powered by SiriusXM, Radio: NissanConnect EV w/Navigation/SiriusXM, Siri Eyes Free. 121/98 City/Highway MPG NOT LOCAL? LET US SEND YOU A CUSTOM VIDEO PRESENTATION OF THIS VEHICLE! Please call us or visit our website. This car is priced competitively using our EXCLUSIVE HUFFMAN VALUE PRICING, guaranteeing you a NO HAGGLE/ REAL-TIME market value price. In other words, we will NOT artificially inflate our prices by thousands of dollars in hopes of winning a negotiating contest with our customers. We give you our BEST price up front, with NO back-and-forth negotiating. This vehicle comes with the HUFFMAN PLATINUM PLAN WARRANTY providing peace of mind for the first 90 days or 3,000 miles of ownership. 3 YEARS COMPLIMENTARY MAINTENANCE INCLUDED with purchase! At the Neil Huffman Automotive Group, you have seven (7) days or one hundred and fifty (150) miles (whichever comes first) to make sure you like the vehicle, or you may exchange it for another vehicle of equal or greater value. All trade-ins are welcome. We'll buy your car even if you don't buy ours!",2023-05-04T08:47:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
D13260,Hyundai Elantra SEL,2023,20000-29999,24977,"10 Uxbridge Rd Mendon, MA 01756",Y,Y,N,5NPLS4AG7PH092313,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",15502,mi.,sedan,Front-wheel Drive,Shimmering Silver Pearl,No,None reported,,No,">>>>>, Navigation System, Apple CarPlay / Android Auto, Heated Seats, Backup Camera, Bluetooth, Cruise Control, Power Windows, Power Locks, Steering Wheels Radio Controls, Aluminum Wheels, Blind Spot Monitoring, Lane Keeping Assistance, Collision Avoidance Assistance, Adaptive Cruise Control, Parkin|…|g Assistance, Cross Traffic Alert, <<<<<, 2nd Row USB Charge Port, Convenience Package, Electronic Parking Brake, Forward Collision Avoidance Assist, Full 10.25 LCD TFT Cluster, Heated Front Seats, Heated Outside Mirrors, Leather-Wrapped Steering Wheel, LED Interior Lights, Option Group 02, Radio: AM/FM/HD/SiriusXM Audio System, Smart Cruise Control w/Stop & Go, Wheels: 17 x 7.0J Machine Finish Alloy, Wireless Charging Pad. Shimmering Silver Pearl 2023 Hyundai Elantra SEL 4D Sedan SEL FWD IVT Clean CARFAX. I4 30/40 City/Highway MPG MORE ABOUT US: Imperial Cars Purchase With Confidence: 1) Free Car Fax Vehicle History Report available for all our vehicles online. 2) Our vehicles are Imperial Certified and go through a rigorous Multi-Point vehicle inspection. 3) Bottom line pricing. 4) 5-Day or 200 Mile Vehicle Exchange Program for your total confidence. If you are not happy with it bring it back within 5 days or 200 miles and we'll give you a credit of your full purchase price toward the purchase of another vehicle. (Excludes Renewed for You vehicles.) Price does not include tax, title, registration, documentation fee or other applicable fees. Price does include Imperial Trade assistance bonus of $1,000 for qualifying retailable trades with less than 10 years of use from original in-service date and odometer under 120,000 miles. To receive advertised promotional price, the vehicle must be paid in full and take same day delivery from dealer stock. Call or email our phone and internet team for the most current information and Imperial discounts. Price cannot be combined with any other discounts or promotions and is subject to change based on market value at any time with",2023-05-04T08:27:03.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
T3T017975A,Mitsubishi Eclipse Cross SEL,2023,20000-29999,26385,"5395 S University Dr Davie, FL 33328",Y,Y,N,JA4ATWAA8PZ006618,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",237,mi.,suv,Four-wheel Drive,Lightning Blue,Yes,None reported,,Yes,"SOUTH FLORIDA'S PREMIERE SUPERCAR WHOLESALE BUYING CLUB. 2023 Mitsubishi Eclipse Cross SEL Lightning Blue BLUE TOOTH BACK UP CAMERA APPLE CARPLAY ALLOY WHEELS ABS brakes, Active Cruise Control, Alloy wheels, Electronic Stability Control, Front dual zone A/C, Heated door mirrors, Heated Front Bucket|…|Seats, Heated front seats, Heated rear seats, Illuminated entry, Low tire pressure warning, Remote keyless entry, Traction control. CARFAX One-Owner. Clean CARFAX. Odometer is 4371 miles below market average! Due to our wholesale pricing advantage we are only able to show these cars by appointment. Contact us today for your Reservation. South Florida's Premiere Super Car Wholesale Club. We pay less so you pay less WWW.UNIVERSITYMITSUBISHIDAVIE.COM Find Us at University Mitsubishi on University Drive between Griffin and Stirling Roads. Just 3 Miles South of I-595. BAD CREDIT / NO CREDIT? That's our Specialty! All prices plus tax, tag, and fees. Must finance through manufacturer's or dealer's preferred lender for certain rebates. Important recall information: so you know, any used vehicle you may be considering may have unrepaired manufacturer's safety recalls. To check the recall status (repaired or unrepaired) of the specific used vehicle you're interested in purchasing visit www.safercar.gov. Thanks for shopping with us.",2023-05-04T08:19:03.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
13658,Nissan Altima 2.5 SV,2023,20000-29999,29900,"1310 N Zaragoza Rd El Paso, TX 79936",Y,Y,N,1N4BL4DV1PN304194,Automatic CVT,CVT,2.5L I4 16V GDI DOHC,2500.0,Gasoline,"",3096,mi.,sedan,Front-wheel Drive,Gun Metallic,No,None reported,,No,"Bluetooth, Backup Camera, Hands Free Phone, Power Locks, Power Windows, Push To Start, Altima 2.5 SV, 4D Sedan, 2.5L 4-Cylinder DOHC 16V, FWD, Gun Metallic, Charcoal Cloth, 17 Machined Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Active Ride Control (ARC), Air Conditioning, AM/FM radio|…|: SiriusXM, Auto High-beam Headlights, Blind Spot Warning, Body-Colored Outside Mirrors, Body-Colored Splash Guards, Brake assist, Bumpers: Body-Color, Cloth Seat Trim, Delay-Off Headlights, Dual front impact airbags, Dual front side impact airbags, Electronic Parking Brake w/Auto-Hold, Electronic Stability Control, Exhaust Finishers, Front anti-roll bar, Front Bucket Seats, Fully automatic headlights, Heated Front Seats, Intelligent Cruise Control w/Full Spd Range & Hold, Intelligent Lane Intervention (I-LI), Intelligent Trace Control (I-TC), Knee airbag, Leather Shift Knob, Leather Steering Wheel, Low tire pressure warning, NissanConnect, NissanConnect featuring Apple CarPlay and Android Auto, Occupant sensing airbag, Overhead airbag, Panic alarm, Power Driver Seat, Power windows, Premium Interior Finishers, ProPILOT Assist, Rear anti-roll bar, Rear side impact airbag, Remote Keyless Entry, Security system, Single Panel Moonroof, Steering Assist, Steering Wheel Mounted Audio Controls, SV Premium Package, Telescoping steering wheel, Traffic Sign Recognition. VISIT US TODAY The team at VIVA NISSAN would like to welcome you to our dealership in El Paso , where we're confident you'll find the vehicles you're looking for at a price you can afford. Come and check out our full selection of Certified Pre Owned vehicles, or get a great deal on a reliable P re- Owned model. No matter which vehicle you decide on, our professional finance team will help you get settled with a competitive financing. Call us today! Sales: 915-629-5500. WE ALSO- BUY. SELL. BE HAPPY MARKET-BASED PRICING You expect fair & competitive pricing. Thats why the price is based on current market data and is",2023-05-04T08:56:25.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
9AM955R,Hyundai Elantra SEL,2023,20000-29999,22998,"8100 Lakeland Ave N Brooklyn Park, MN 55445",Y,Y,N,KMHLS4AG9PU432403,Variable,"",Regular Unleaded I-4 2.0 L/122,2000.0,Gasoline,30–40 mpg,3990,mi.,sedan,Front-wheel Drive,Intense Blue,No,None reported,,No,"Only 22 Miles! Scores 40 Highway MPG and 30 City MPG! This Hyundai Elantra boasts a Regular Unleaded I-4 2.0 L/122 engine powering this Variable transmission. REVERSIBLE CARGO TRAY, INTENSE BLUE, CONVENIENCE PACKAGE  -inc: Option Group 02, Wireless Charging Pad, Full 10.25\" LCD TFT Cluster, 2nd|…|Row USB Charge Port, Leather-Wrapped Steering Wheel, leather wrapped shifter, LED Interior Lights, Radio: AM/FM/HD/SiriusXM Audio System, 10.25\" high resolution touchscreen display, navigation, SirusXM data services: NavTraffic, NavWeather, sports and stocks w/3-month trial, 6 speakers, Blue Link connected car system, wired Apple CarPlay and Android Auto, Bluetooth hands-free phone system w/voice recognition, USB ports, dynamic voice recognition and speed-sensitive automatic volume control, Heated Outside Mirrors, Wheels: 17\" x 7.0J Machine Finish Alloy, Tires: 225/45R17, Smart Cruise Control w/Stop & Go, Heated Front Seats, Electronic Parking Brake, Forward Collision Avoidance Assist, pedestrian, cyclist and junction-turning detection.|This Hyundai Elantra Features the Following Options|Window Grid And Roof Mount Antenna, Wheels: 16\" x 6.5J Alloy, Variable intermittent wipers, Urethane Gear Shifter Material, Trunk Rear Cargo Access, Trip computer, Transmission: Intelligent Variable (IVT) -inc: drive mode select (normal, sport, smart), Torsion Beam Rear Suspension w/Coil Springs, Tires: 205/55R16, Tire Pressure Monitoring System Tire Specific Low Tire Pressure Warning.|Visit Us Today|Live a little- stop by Walser Hyundai MN020 located at 8100 Lakeland Ave N, BROOKLYN PARK, MN 55445 to make this car yours today!",2023-05-04T08:57:04.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
U10906O,Hyundai Elantra SEL,2023,20000-29999,21598,"360 W Sunrise Hwy Valley Stream, NY 11581",Y,Y,Y,KMHLM4AGXPU450838,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",458,mi.,sedan,Front-wheel Drive,Metal,Yes,None reported,Yes,Yes,"The Finance For amount is reflective after $1995 down, subject to primary lenders approval.Price subject to change. Subject to primary lenders approval. All prices exclude tax, title, $695 dealer fees, tags, license & DMV. Must finance through dealer when applicable & take same day delivery.Internet|…|pricing cannot be combined with special low rates or through credit union. Sorry but we cannot extend special Internet pricing without a printed copy of the on-line pricing, and your in-store price may exceed our special on-line pricing. To take advantage of our special Internet discounts, please print this page and present it to your salesperson. Hyundai Certified Pre-Owned Details:  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  173+ Point Inspection  Warranty Deductible: $50  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Roadside Assistance  Vehicle History Alloy Wheels, Backup Camera, Bi Xenon Headlamp Package, CLEAN VEHICLE HISTORY...NO ACCIDENTS, Comfort Package, Convenience Package, License Plate Front Mount Package, NEW BRAKES, NEW TIRES, ONE OWNER, PASSES STATE INSPECTION, Power Mirror Package, REMAINDER OF FACTORY WARRANTY, Rear Climate Package, GOOD BRAKES, GOOD TIRES, Option Group 01. Fluid Metal 2023 Hyundai Elantra SEL FWD IVT I4 Odometer is 3940 miles below market average! 30/40 City/Highway MPG",2023-05-04T08:39:21.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
R505984A,Mazda Mazda3 FWD w/Preferred Package,2023,20000-29999,26600,"618 SW 8th St Miami, FL 33130",N,N,N,3MZBPACM9PM354211,6-Speed Automatic,Automatic,2.5L I4 16V GDI DOHC,2500.0,Gasoline,"",146,mi.,sedan,Front-wheel Drive,Machine Gray Metallic,Yes,None reported,,Yes,"Brickell Mazda is proud to offer you this Beautiful 2023 Mazda Mazda3. This 2.5 S Preferred Package Mazda3 is beautifully finished in Machine Gray Metallic and complimented by Greige Artificial Leather and this exceptional vehicle gives you an amazing driving experience, wraps you in all the right c|…|reature comforts and does so along with impressive Fuel efficiency rating. 2023 Mazda Mazda3 2.5 S Preferred Package 2.5 S Preferred Package Machine Gray Metallic 2.5L I4 DOHC 16V LEV3-SULEV30 191hp 6-Speed Automatic 28/37 City/Highway MPG FWD Mazda Certified Pre-Owned Details:  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date  Roadside Assistance  Warranty Deductible: $0  Vehicle History  160 Point Inspection  Transferable Warranty  Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date  Includes Autocheck Vehicle History Report with 3 Year Buyback Protection. 3 month SiriusXM trial subscription. Odometer is 4056 miles below market average! At Brickell Mazda, we strive to make the entire purchasing experience a simple, Pleasant and transparent process because you deserve in an environment that fair radiates positivity. After all, buying a car should be an enjoyable endeavor and not a long, drawn out, painful experience. We break down the process so its straightforward and clear, allowing you to sit back, relax and focus on how you plan to enjoy your Mazda car or SUV. Whether youre looking to lease a new car or buy a pre-owned SUV, our staff can handle your situation from start to finish ensuring the purchasing process goes smoothly is important to us, too, and we have full confidence that our finance team will find you the best offer possible. Prices do not include tax, tag, title, Certification fees, Avg Reconditioning Cost of $1,125.00 additional keys, accessories, manuals, dealer fee of $995 and a $139.95 El",2023-05-04T08:53:20.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
11207P,Hyundai Sonata SE,2023,20000-29999,24497,"2900 Lorch Ave Eau Claire, WI 54701",Y,Y,Y,KMHL24JA3PA255635,8-Speed Automatic with SHIFTRONIC,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",4294,mi.,sedan,Front-wheel Drive,White,Yes,None reported,,No,"Black Cloth. Odometer is 1063 miles below market average! CARFAX One-Owner. Clean CARFAX. Serenity White 2023 Hyundai Sonata SE FWD Certified. 28/38 City/Highway MPG Hyundai Certified Pre-Owned Details:  Roadside Assistance  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from origi|…|nal in-service date  Vehicle History  173+ Point Inspection  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Warranty Deductible: $50  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date At Ken Vance Motors, a division of ONE Automotive Group, every car sold is backed by a full suite of benefits. We think of it as our ONEderful Commitment to you. It starts with our ONEderful Price. Here, you get our upfront lowest price. Always. Its a refreshing approach thats free of the hassle, haggle, and anxiety you may encounter at other dealerships. Our ONEderful process puts you in the drivers seat. You drive the shopping process from online to in-store. Were here to build a relationship based on constructive conversation, not confrontation. Our ONEderful Vehicle Benefit Bundle was developed to take care of you and your vehicle well beyond your initial purchase. New vehicles include a Lifetime Powertrain Warranty. Select pre-owned vehicles include a 6 month or 6,000-mile Powertrain Warranty and our ONEbrella Guarantee, covering brake, battery and bulb replacement for 3 months or 3,000 miles. For extra peace of mind, our cars come with a seven day return or exchange policy. To make buying your vehicle easier, well deliver your new vehicle to you at no charge within 150 miles With such ONEderful automotive experience it's no wonder so many people come visit us for all their automo",2023-05-04T08:29:01.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
60110A,Chevrolet Trailblazer LS,2023,20000-29999,28945,"1405 N Osage Blvd Nevada, MO 64772",Y,Y,N,KL79MNSL3PB026720,9-Speed Automatic,Automatic,1.3L I3 12V GDI DOHC Turbo,1300.0,Gasoline,"",700,mi.,suv,All-wheel Drive,Summit White,Yes,None reported,,Yes,"Available at Max Motors GM in Nevada. 1405 N Osage Blvd, Nevada, MO. 2023 Chevrolet TrailBlazer LS AWD 9-Speed Automatic Summit White 1.3L Ecotec Turbo DOHC SIDI w/VVT Odometer is 3848 miles below market average! LOW LOW MILES, VERY COMFORTABLE AND CONVIENENT, 4-Wheel Disc Brakes, 6-Speaker Audio Sy|…|stem Feature w/Amplifier, 7 Diagonal Color Touchscreen, ABS brakes, Auto High-beam Headlights, Brake assist, Bumpers: body-color, Cloth Seat Trim, Delay-off headlights, Driver Confidence & Cruise Package, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Cruise Control w/Set & Resume Speed, Emergency communication system: OnStar and Chevrolet connected services capable, Front anti-roll bar, Front reading lights, Front wheel independent suspension, Fully automatic headlights, Illuminated entry, Knee airbag, Lane Change Alert w/Side Blind Zone Alert, Low tire pressure warning, Occupant sensing airbag, Overhead airbag, Passenger vanity mirror, Preferred Equipment Group 1LS, Rear Cross Traffic Alert, Rear Park Assist, Rear side impact airbag, Ride & Handling Suspension, Security system, Steering wheel mounted audio controls, Traction control, Variably intermittent wipers, Wheels: 17 Silver-Painted Aluminum, Wireless Apple CarPlay/Wireless Android Auto. CARFAX One-Owner. 26/30 City/Highway MPG",2023-05-04T08:18:42.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
7351868C,MINI SE Hardtop BASE,2023,20000-29999,26777,"25503 Tomball Pkwy Tomball, TX 77375",Y,Y,N,WMW13DJ0XP2S76327,1-Speed Automatic,Automatic,Electric,,Electric,"",1743,mi.,hatchback,Front-wheel Drive,Gray Metallic,Yes,None reported,Yes,Yes,"CARFAX One-Owner. Clean CARFAX. Gray Metallic 2023 MINI Cooper 2D Hatchback FWD 119/100 City/Highway MPG 1-Speed Automatic Electric Drive Unit 4-Wheel Disc Brakes, ABS brakes, Advanced Real-Time Traffic Information, Air Conditioning, Alloy wheels, AM/FM Radio, Apple CarPlay Compatibility, Auto High-|…|beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, ConnectedDrive Services, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Dynamic Digital Instrument Cluster, eDrive Services, Electronic Stability Control, Emergency communication system: MINI Intelligent Emergency Call, Enhanced USB & Bluetooth, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front dual zone A/C, Front fog lights, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated Front Seats, Heated front seats, Illuminated entry, Knee airbag, Leather steering wheel, Low tire pressure warning, Media Display, MINI Assist eCall, MINI Connected, MINI Navigation, MINI TeleServices, Navigation system: Connected Navigation, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Passenger door bin, Passenger Seat Height Adjustment, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio Control US, Radio data system, Rain sensing wipers, Rear anti-roll bar, Rear window defroster, Rear window wiper, Remote keyless entry, Remote Services, SiriusXM Satellite Radio, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Spoiler, Sport Seats, Sport steering wheel, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, and Variably intermittent wipers. Odometer is 1699 miles below market average! 119/100 City/Highway MPG 4-Wheel Disc Brakes, ABS brakes, A",2023-05-04T08:20:58.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
