card_id,ind,url,scrap_date
104309289,1,https://avcdn.av.by/advertbig/0001/9851/1847.jpg,2023-05-03 12:47:46
104309289,2,https://avcdn.av.by/advertbig/0001/9851/1857.jpg,2023-05-03 12:47:46
104309289,3,https://avcdn.av.by/advertbig/0001/9851/1852.jpg,2023-05-03 12:47:46
104309289,4,https://avcdn.av.by/advertbig/0001/9851/3837.jpg,2023-05-03 12:47:46
104309289,5,https://avcdn.av.by/advertbig/0001/9851/3892.jpg,2023-05-03 12:47:46
104309289,6,https://avcdn.av.by/advertbig/0001/9851/3882.jpg,2023-05-03 12:47:46
104309289,7,https://avcdn.av.by/advertbig/0001/9851/3857.jpg,2023-05-03 12:47:46
104309289,8,https://avcdn.av.by/advertbig/0001/9851/3832.jpg,2023-05-03 12:47:46
104309289,9,https://avcdn.av.by/advertbig/0001/9851/5167.jpg,2023-05-03 12:47:46
104309289,10,https://avcdn.av.by/advertbig/0001/9851/5187.jpg,2023-05-03 12:47:46
104309289,11,https://avcdn.av.by/advertbig/0001/9851/5197.jpg,2023-05-03 12:47:46
104324664,1,https://avcdn.av.by/advertbig/0001/9468/4653.jpg,2023-05-03 12:47:46
104324664,2,https://avcdn.av.by/advertbig/0001/9468/4663.jpg,2023-05-03 12:47:46
104324664,3,https://avcdn.av.by/advertbig/0001/9468/4678.jpg,2023-05-03 12:47:46
104324664,4,https://avcdn.av.by/advertbig/0001/9468/4683.jpg,2023-05-03 12:47:46
104324664,5,https://avcdn.av.by/advertbig/0001/9468/4668.jpg,2023-05-03 12:47:46
104324664,6,https://avcdn.av.by/advertbig/0001/9468/4688.jpg,2023-05-03 12:47:46
104324664,7,https://avcdn.av.by/advertbig/0001/9468/4673.jpg,2023-05-03 12:47:46
104324664,8,https://avcdn.av.by/advertbig/0001/9468/4693.jpg,2023-05-03 12:47:46
104324664,9,https://avcdn.av.by/advertbig/0001/9468/4658.jpg,2023-05-03 12:47:46
104422519,1,https://avcdn.av.by/advertbig/0001/9827/8221.jpg,2023-05-03 12:47:48
104277078,1,https://avcdn.av.by/advertbig/0001/9275/3368.jpg,2023-05-03 12:47:49
104277078,2,https://avcdn.av.by/advertbig/0001/9276/0273.jpg,2023-05-03 12:47:49
104277078,3,https://avcdn.av.by/advertbig/0001/9276/0293.jpg,2023-05-03 12:47:49
104277078,4,https://avcdn.av.by/advertbig/0001/9276/0318.jpg,2023-05-03 12:47:49
104277078,5,https://avcdn.av.by/advertbig/0001/9276/0388.jpg,2023-05-03 12:47:49
104277078,6,https://avcdn.av.by/advertbig/0001/9276/0423.jpg,2023-05-03 12:47:49
104277078,7,https://avcdn.av.by/advertbig/0001/9276/0528.jpg,2023-05-03 12:47:49
104277078,8,https://avcdn.av.by/advertbig/0001/9276/0598.jpg,2023-05-03 12:47:49
104277078,9,https://avcdn.av.by/advertbig/0001/9276/0673.jpg,2023-05-03 12:47:49
104277078,10,https://avcdn.av.by/advertbig/0001/9276/0743.jpg,2023-05-03 12:47:49
104277078,11,https://avcdn.av.by/advertbig/0001/9276/0748.jpg,2023-05-03 12:47:49
104277078,12,https://avcdn.av.by/advertbig/0001/9276/0993.jpg,2023-05-03 12:47:49
104313870,1,https://avcdn.av.by/advertbig/0001/9416/6054.jpg,2023-05-03 12:47:49
104313870,2,https://avcdn.av.by/advertbig/0001/9416/6044.jpg,2023-05-03 12:47:49
104313870,3,https://avcdn.av.by/advertbig/0001/9416/6064.jpg,2023-05-03 12:47:49
104313870,4,https://avcdn.av.by/advertbig/0001/9416/6084.jpg,2023-05-03 12:47:49
