card_id,category,item,scrap_date
104309289,Экстерьер,легкосплавные диски,2023-05-03 12:47:46
104309289,Экстерьер,фаркоп,2023-05-03 12:47:46
104309289,Системы безопасности,сигнализация,2023-05-03 12:47:46
104309289,Интерьер,тёмный,2023-05-03 12:47:46
104309289,Интерьер,ткань,2023-05-03 12:47:46
104309289,Комфорт,автозапуск двигателя,2023-05-03 12:47:46
104309289,Комфорт,передние электро-стеклоподъёмники,2023-05-03 12:47:46
104309289,Обогрев,сидений,2023-05-03 12:47:46
104309289,Обогрев,зеркал,2023-05-03 12:47:46
104309289,Климат,кондиционер,2023-05-03 12:47:46
104309289,Мультимедиа,AUX или iPod,2023-05-03 12:47:46
104309289,Мультимедиа,CD или MP3,2023-05-03 12:47:46
104309289,Мультимедиа,USB,2023-05-03 12:47:46
104309289,Фары,противотуманные,2023-05-03 12:47:46
104324664,Экстерьер,легкосплавные диски,2023-05-03 12:47:46
104324664,Системы безопасности,ABS,2023-05-03 12:47:46
104324664,Системы безопасности,ESP,2023-05-03 12:47:46
104324664,Системы безопасности,антипробуксовочная,2023-05-03 12:47:46
104324664,Системы безопасности,иммобилайзер,2023-05-03 12:47:46
104324664,Подушки,передние,2023-05-03 12:47:46
104324664,Системы помощи,датчик дождя,2023-05-03 12:47:46
104324664,Интерьер,тёмный,2023-05-03 12:47:46
104324664,Интерьер,ткань,2023-05-03 12:47:46
104324664,Комфорт,управление мультимедиа с руля,2023-05-03 12:47:46
104324664,Комфорт,передние электро-стеклоподъёмники,2023-05-03 12:47:46
104324664,Комфорт,задние электро-стеклоподъёмники,2023-05-03 12:47:46
104324664,Климат,кондиционер,2023-05-03 12:47:46
104324664,Мультимедиа,AUX или iPod,2023-05-03 12:47:46
104324664,Мультимедиа,Bluetooth,2023-05-03 12:47:46
104324664,Мультимедиа,USB,2023-05-03 12:47:46
104324664,Мультимедиа,мультимедийный экран,2023-05-03 12:47:46
104324664,Фары,противотуманные,2023-05-03 12:47:46
104422519,Интерьер,светлый,2023-05-03 12:47:48
104422519,Интерьер,велюр,2023-05-03 12:47:48
104277078,Экстерьер,легкосплавные диски,2023-05-03 12:47:49
104277078,Экстерьер,рейлинги на крыше,2023-05-03 12:47:49
104277078,Системы безопасности,ABS,2023-05-03 12:47:49
104277078,Системы безопасности,ESP,2023-05-03 12:47:49
104277078,Системы безопасности,антипробуксовочная,2023-05-03 12:47:49
104277078,Системы безопасности,иммобилайзер,2023-05-03 12:47:49
104277078,Подушки,передние,2023-05-03 12:47:49
104277078,Подушки,боковые,2023-05-03 12:47:49
104277078,Подушки,задние,2023-05-03 12:47:49
104277078,Системы помощи,датчик дождя,2023-05-03 12:47:49
104277078,Системы помощи,камера заднего вида,2023-05-03 12:47:49
104277078,Системы помощи,парктроники,2023-05-03 12:47:49
104277078,Интерьер,тёмный,2023-05-03 12:47:49
104277078,Интерьер,искусственная кожа,2023-05-03 12:47:49
