card_id,url,scrap_date
104309289,https://cars.av.by/lada-vaz/2121-niva/104309289,2023-05-03 12:47:46
104324664,https://cars.av.by/geely/emgrand/104324664,2023-05-03 12:47:46
104422519,https://cars.av.by/geely/emgrand/104422519,2023-05-03 12:47:48
104277078,https://cars.av.by/geely/atlas-pro/104277078,2023-05-03 12:47:49
104313870,https://cars.av.by/geely/coolray/104313870,2023-05-03 12:47:49
104187872,https://cars.av.by/jac/js4/104187872,2023-05-03 12:47:50
104324096,https://cars.av.by/jac/js4/104324096,2023-05-03 12:47:51
104324093,https://cars.av.by/jac/js4/104324093,2023-05-03 12:47:52
104187874,https://cars.av.by/jac/js4/104187874,2023-05-03 12:47:52
104324135,https://cars.av.by/faw/bestune-t77/104324135,2023-05-03 12:47:53
104339543,https://cars.av.by/jac/js4/104339543,2023-05-03 12:47:54
104339540,https://cars.av.by/jac/js4/104339540,2023-05-03 12:47:54
104339533,https://cars.av.by/jac/js4/104339533,2023-05-03 12:47:55
104324219,https://cars.av.by/faw/bestune-t77/104324219,2023-05-03 12:47:55
104324101,https://cars.av.by/jac/js4/104324101,2023-05-03 12:47:56
104339546,https://cars.av.by/jac/js4/104339546,2023-05-03 12:47:57
