card_id,title,price_primary,price_history,location,labels,description,vehicle_history,comment,scrap_date,source_id,dl_loaded_date
GH1049P,2023 Hyundai Sonata SE,"$24,759","4/17/23: $23,985 | 4/24/23: $24,759","6251 W Grand Ave Gurnee, IL 60031",Good Deal|Home Delivery|Virtual Appointments|VIN: KMHL24JA2PA261538,"2023, 8-Speed Automatic with SHIFTRONIC, 2.5L I4 16V PDI DOHC, Gasoline, 3 146 mi. | sedan, Front-wheel Drive, Hampton Gray",Accidents or damage: None reported | Clean title: Yes | Personal use only: Yes,"Clean CARFAX. BACKUP CAMERA, BLUETOOTH, Blind Spot Monitor, Apple Carplay / Android Auto, Sonata SE, Hampton Gray, Option Group 01. 2023 Hampton Gray Hyundai Sonata SE FWD Odometer is 1989 miles below market average! 28/38 City/Highway MPG With some options like Option Group 01, Sonata SE, H|…|ampton Gray, 16 x 6.5J Aluminum Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay & Android Auto, Auto High-beam Headlights, Brake assist, Bumpers: body-color, Cargo Tray, Carpeted Floor Mats, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Fully automatic headlights, Heated door mirrors, Illuminated entry, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Premium Cloth Seating Surfaces, Radio data system, Radio: AM/FM/MP3/HD Display Audio, Rear anti-roll bar, Rear Bumper Applique, Rear side impact airbag, Rear window defroster, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Speed-Sensitive Wipers, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Trunk Cargo Net, Turn signal indicator mirrors, Variably intermittent wipers, and Wheel Locks. Gurnee Hyundai! Sale price does not include taxes, license, title fees, dealer-installed accessories, and a documentary service fee as permitted by law or regulation. Sale pricing includes all Hyundai rebates and incentives applicable to everyone. Additional Dealer Exclusive savings may be availa",2023-05-01T08:06:56.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
M14637,2023 Kia Sportage LX,"$25,984","2/16/23: $27,858 | 3/31/23: $26,907 | 4/03/23: $26,221 | 4/07/23: $25,565 | 4/10/23: $26,211 | 4/19/23: $25,936 | 4/20/23: $25,425 | 4/21/23: $25,945","4825 Sunrise Hwy Bohemia, NY 11716","Great Deal | $2,125 under|CPO Warrantied|Home Delivery|Virtual Appointments|VIN: KNDPU3AF6P7035666|Included warranty","2023, 8-Speed Automatic, 2.5L I4 16V PDI DOHC, Gasoline, 8 717 mi. | suv, Front-wheel Drive, Fusion Orange",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"25/32 City/Highway MPG Clean CARFAX. CARFAX One-Owner. Odometer is 2627 miles below market average! Kia Certified, Good Tires, Good Brakes, Alloy Wheels, Backup Camera, Bluetooth, Leather Seats, Moonroof, 17 Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, A|…|M/FM radio, Apple CarPlay & Android Auto, Auto High-beam Headlights, Axle Ratio: 3.648, Brake assist, Bumpers: body-color, Carpeted Floor Mats, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio: AM/FM/HD Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers. 2023 Kia Sportage LX Certified. Kia Certified Pre-Owned Details:  165 Point Inspection  Vehicle History  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Transferable Warranty  Warranty Deductible: $50 Thank you for choosing Generation Kia where you can Shop Your Way! All of our Pre-Owned vehicles go through a 152",2023-05-01T08:02:05.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P1229,2023 Kia Forte GT-Line,"$25,994","","1580 New State Hwy Rt. 44 Raynham, MA 02767",Good Deal | $319 under|VIN: 3KPF54AD5PE520040,"2023, Automatic, 2.0L I4 16V MPFI DOHC, Gasoline, 7 820 mi. | sedan, Front-wheel Drive, Snow White Pearl",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"CARFAX 1-Owner. FUEL EFFICIENT 39 MPG Hwy/28 MPG City! Heated Seats, Nav System, Moonroof, Lane Keeping Assist, Remote Engine Start, Dual Zone A/C, Aluminum Wheels, GT-LINE SPORT PREMIUM PACKAGE, GT-LINE PREMIUM PACKAGE, Back-Up Camera ======KEY FEATURES INCLUDE: Back-Up Camera, Aluminum Wheels, Rem|…|ote Engine Start, Dual Zone A/C, Lane Keeping Assist Kia GT-Line with Snow White Pearl exterior and Black interior features a 4 Cylinder Engine with 147 HP at 6200 RPM. ======OPTION PACKAGES: GT-LINE PREMIUM PACKAGE Navigation-Based Smart Cruise Control (NSCC), Power Sunroof, Electronic Parking Brake (EPB), Forward Collision Avoidance-Assist - Cyclist, LED Front & Rear Interior Reading Lights, Smart Cruise Control w/Stop & Go, Wireless Charging, Radio: Kia Connect w/harman/kardon Premium Audio, AVNT w/modem, 8 speakers w/subwoofer and 320W, Clari-Fi, 10.25 touch screen navigation, steering remote control, Bluetooth hands-free and USB input, GT-LINE SPORT PREMIUM PACKAGE 10-Way Power Driver Seat, Heated & Ventilated Front Seats, Rear USB Charger, Rear AC Vent. ======BUY WITH CONFIDENCE: CARFAX 1-Owner ======MORE ABOUT US: Silko Care Plus LIFETIME WARRANTY, Buy One Get One Free Oil Changes and Free Car Washes for Life! Excludes vehicles 8 years or older or with over 85,000 miles. Some manufacturers may not qualify. Horsepower calculations based on trim engine configuration. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase.",2023-05-01T08:02:43.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
M69561A,2023 Mazda CX-30 Base,"$25,200","4/13/23: $25,900 | 4/24/23: $25,200","1400 Tech Centre Park Arlington, TX 76014",Great Deal|VIN: 3MVDMBAM9PM518942,"2023, 6-Speed Automatic, 2.5L I4 16V, Gasoline, 5 227 mi. | suv, All-wheel Drive, Deep Crystal Blue Mica",Accidents or damage: None reported | Clean title: Yes | 1-owner vehicle: Yes | Personal use only: Yes,"2023 Deep Crystal Blue Mica Mazda CX-30 2.5 S 6-Speed Automatic SKYACTIV 2.5L 4-Cylinder DOHC 16V Certified. MAZDA CERTIFIED - This vehicle has been Inspected and Certified by a factory-trained MAZDA Tech., NON SMOKER, ADULT OWNED, ONE OWNER, POWER WINDOWS / POWER DOOR LOCKS, KEYLESS ENTRY, PUSH BUT|…|TON START, BACK UP CAMERA, CX-30 2.5 S, 4D Sport Utility, SKYACTIV 2.5L 4-Cylinder DOHC 16V, 6-Speed Automatic, AWD, Deep Crystal Blue Mica, Black Cloth. Each Certified Mazda comes standard with a 7-Year/100,000-Mile Powertrain warranty from the original in-service date, and a 12-Month/12,000-Mile Additional Limited Warranty with no deductible on covered components, which begins when the factory warranty ends. ... Warranty coverage is transferable.Only the best-maintained, late-model vehicles make the Mazda Certified Pre-Owned (CPO) vehicle cut. To be eligible, they must pass a rigorous 160-point inspection. From major to minor components, each vehicle is scrutinized and tested to make sure it meets the highest standards. So you can feel confident and enjoy every drive in your Mazda with an elevated state of being, mile after mile. Prices do not include reconditioning costs or CPO costs when applicable. Hiley Mazda Volkswagen is located at I-20 and Collins in Arlington. We are right in the middle of the Metroplex, just 20 minutes from Dallas and 20 minutes from Ft. Worth.",2023-05-01T08:02:41.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
4005243,2023 Volkswagen Jetta 1.5T SEL,"$28,200","3/28/23: $30,900 | 4/05/23: $30,800 | 4/12/23: $30,600 | 4/19/23: $28,500 | 4/28/23: $28,200","1740 U.S. 60 Republic, MO 65738",Good Deal|Home Delivery|Virtual Appointments|VIN: 3VWGM7BU5PM005243,"2023, 8-Speed Automatic, 1.5L I4 16V GDI DOHC Turbo, Gasoline, 3 958 mi. | sedan, Front-wheel Drive, Pyrite Silver Metallic",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Collision Avoidance System, Collision Warning System, Active Parking Assist, Heated Seats, Touchscreen Controls, Backup Camera, Keyless Access with Push Button Start, Automatic Headlights, Apple CarPlay, Android Auto, Voice Recognition, Bluetooth Hands-Free, ONE OWNER, MP3, Navigation System. CARFA|…|X One-Owner. Clean CARFAX. 2023 Volkswagen Jetta 1.5T SEL FWD 8-Speed Automatic with Tiptronic 1.5L I-4 DI DOHC Turbocharged Pyrite Silver Metallic 29/40 City/Highway MPG The BIG QUESTION is why buy from Corwin Ford Lincoln Republic. Corwin is a family owned and operated business. We have been in business for over 100 years. Our select Certified inventory takes the risk out of buying a car at the same live market price. All our preowned vehicles get 172 point inspection by certified technicians. You get a Vehicle History Report. Now that's a deal! What is Live Market Pricing? We utilize a 3rd party company, Kelly Blue Book, to help us price preowned vehicles. To not be just the best price, but the best value price. Which in turn takes the haggle out of buying a car. Saving you TIME and MONEY. Remember if it does not say Corwin on the back of the car, you've probably paid to much. We proudly serve Republic, Ozark, Nixa, Fair Grove, Pleasant Hope, Billings, Clever, Springfield, Aurora, Branson, Marshfield, and the greater Springfield Missouri area. Corwin Price does not include Admin fee of $565 or optional Data Dots $299.",2023-05-01T08:04:48.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P100080,2023 Kia Sportage LX,"$28,499","3/14/23: $29,999 | 3/29/23: $29,632 | 4/05/23: $29,332 | 4/11/23: $29,173 | 4/18/23: $28,873 | 4/27/23: $28,499","1260 South Colorado Boulevard Denver, CO 80246",Great Deal | $891 under|CPO Warrantied|Home Delivery|Virtual Appointments|VIN: KNDPUCAF6P7100080|Included warranty,"2023, 8-Speed Automatic, 2.5L I4 16V PDI DOHC, Gasoline, 1 148 mi. | suv, All-wheel Drive, Steel Gray",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Certified. Forward Collision Alert, Park Assist, Lane Keeping Assist, Heated Front Seats, Android Auto, Apple Carplay, LED Lighting, Sportage LX, 4D Sport Utility, I4, 8-Speed Automatic, AWD, Steel Gray, Black Cloth. Kia Certified Pre-Owned Details:  Powertrain Limited Warranty: 120 Month/100,000 M|…|ile (whichever comes first) from original in-service date  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Transferable Warranty  Vehicle History  165 Point Inspection  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Roadside Assistance  Warranty Deductible: $50 10 Year / 100,000 Mile Power Train Warranty included with all Certified Pre Owned KIAs at Emich KIA. Sportage LX, Kia Certified Pre-Owned Certified, 4D Sport Utility, I4, 8-Speed Automatic, AWD, Steel Gray, Black Cloth, 17 Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay & Android Auto, Auto High-beam Headlights, Axle Ratio: 3.648, Brake assist, Bumpers: body-color, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Heated door mirrors, Heated front seats, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio: AM/FM/HD Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telesc",2023-05-01T08:06:01.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
T050169A,2023 Toyota Corolla Hatchback SE,"$27,700","3/15/23: $29,500 | 3/22/23: $29,000 | 3/30/23: $28,500 | 4/05/23: $28,000 | 4/23/23: $27,700","7204 S. 124th Cir LaVista, NE 68128",Good Deal|Home Delivery|Virtual Appointments|VIN: JTND4MBE8P3196392,"2023, Automatic CVT, 2.0L I4 16V PDI DOHC, Gasoline, 1 061 mi. | hatchback, Front-wheel Drive, Wind Chill Pearl / Midnight Black Metallic",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Recent Arrival! Certified. 2023 Toyota Corolla Hatchback SE FWD SE Preferred Package - Blind Spot Monitor w/ Rear Cross Traffic Alert.Toyota Certified Used Vehicles Details: Limited Comprehensive Warranty: 12 Month/12,000 Mile (whichever comes first) from certified purchase date. Roadside Assis|…|tance for 7 Year / 100,000 Mile Warranty Deductible: $0 Roadside Assistance 160 Point Inspection Transferable Warranty Limited Warranty: 12 Month/12,000 Mile (whichever comes first) from TCUV purchase date Vehicle History Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from TCUV purchase date",2023-05-01T08:04:17.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
G110747A,2023 Kia Seltos EX,"$28,991","4/12/23: $27,067 | 4/29/23: $28,991","202 Tamiami Trail Port Charlotte, FL 33953",Good Deal | $361 under|Home Delivery|Virtual Appointments|VIN: KNDERCAA2P7449475,"2023, Automatic CVT, 2.0L I4 16V MPFI DOHC, Gasoline, 234 mi. | suv, All-wheel Drive, Neptune Blue","","ABS brakes, Apple CarPlay & Android Auto, Automatic temperature control, Emergency communication system: 911 Connect, Exterior Parking Camera Rear, Fully automatic headlights, Gray Interior Color Package, Heated Front Bucket Seats, Navigation System, Occupant sensing airbag, Power driver seat, Power|…|moonroof, Radio: AM/FM/MP3 Display Audio w/Navigation, Remote keyless entry, Sofino Premium Leatherette Seat Trim, Speed control, Steering wheel mounted audio controls, Wheels: 17 Alloy w/Machined Finish. Clean CARFAX. Certified. Kia Certified Pre-Owned Details: Vehicle History 165 Point Inspection Transferable Warranty Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription Roadside Assistance Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date Warranty Deductible: $50 Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date2023 Kia Seltos EX AWD IVT 2.0L I4 MPI 27/31 City/Highway MPG CALL THE ALL-NEW KIA OF PORT CHARLOTTE TODAY AT (941) 300-0897 TO CHECK AVAILABILITY AND SCHEDULE A TEST DRIVE! We are located at 202 TAMIAMI TRAIL, PORT CHARLOTTE FL 33953.",2023-05-01T08:03:26.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
M14930,2023 Kia Sportage LX,"$28,079","","4825 Sunrise Hwy Bohemia, NY 11716",Good Deal|CPO Warrantied|Home Delivery|Virtual Appointments|VIN: KNDPUCAF3P7041232|Included warranty,"2023, 8-Speed Automatic, 2.5L I4 16V PDI DOHC, Gasoline, 14 859 mi. | suv, All-wheel Drive, Snow White Pearl",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: No,"23/28 City/Highway MPG Clean CARFAX. CARFAX One-Owner. 17 Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay & Android Auto, Auto High-beam Headlights, Axle Ratio: 3.648, Brake assist, Bumpers: body-color, Carpeted Floor Mats, Cloth|…|Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Heated door mirrors, Heated front seats, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio: AM/FM/HD Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers. 2023 Kia Sportage LX Certified. Kia Certified Pre-Owned Details:  Transferable Warranty  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Vehicle History  165 Point Inspection  Roadside Assistance  Warranty Deductible: $50  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription Thank you for choosing Generation Kia where you can Shop Your Way! All of our Pre-Owned vehicles go through a 152 point inspection to ensure that we deliver a quality vehicle 100% of the time. We poll all of the major websi",2023-05-01T08:03:52.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
N230005,2023 Nissan Rogue S,"$27,980","1/31/23: $28,767 | 3/30/23: $28,587 | 4/07/23: $28,286 | 4/20/23: $27,980","725 Alpha Rd Beavercreek, OH 45434",Good Deal | $211 under|CPO Warrantied|Virtual Appointments|VIN: 5N1BT3AB0PC682397|Included warranty,"2023, Automatic CVT, 1.5L I3 12V GDI DOHC Turbo, Gasoline, 7 577 mi. | suv, All-wheel Drive, Caspian Blue",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: No,"Former Dealership Courtesy Vehicle Nissan Certified w/7-Year 100,000 Mile Limited Warranty!! More Value Than Buying New!! 28/35 City/Highway MPG!! Certified. Caspian Blue Metallic 2023 Nissan Rogue S Nissan Certified Details:  Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from|…|original in-service date  Vehicle History  Roadside Assistance  Plus 1 Year Pre-Paid Maintenance Included.  Transferable Warranty  167 Point Inspection  Warranty Deductible: $100 17 Aluminum Alloy Wheels, Auto High-beam Headlights, Black Splash Guards (Set of 4), Blind Spot Warning, Chrome Rear Bumper Protector, First Aid Kit, Floor Mats w/1-Piece Cargo Area Protector, Fully automatic headlights, Rear Parking Sensors, USB Charging Cable Set - Nissan. Ask how your next vehicle could be FREE! All qualifying vehicles include the Jeff Schmitt Advantage: Complimentary Vehicle Maintenance for 1 year which includes 2 free oil changes and 2 free tire rotations; we also will provide you with a complimentary loaner vehicle while we work on your vehicle so you don't have to wait; 72 Hour Exchange Policy; our Best Value Guarantee; Elite Vehicle Delivery which includes two sets of keys, a full tank of gas, and a vehicle that has been detailed just for you; and a free CARFAX report on any pre-owned vehicle in our inventory. (See dealer for details.) Prices do not include applicable tax, title, license, doc fees, or any dealer adds. Pricing incentives listed cannot be combined with any special manufacturer APR rates.",2023-05-01T08:03:36.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
